distance_meters,duration_seconds,effort_type,effort_value,intensity_zone,interval_rest_seconds,intervals,set_type,source_id,target_calories,tempo,work_seconds
,,RIR,1.0,,,,,d1b3068e-4ce4-4b50-b0ce-d731b5cb07a0,,,
,,RIR,1.0,,,,,65778636-a9ad-4779-9b23-f50b9e7e38cf,,,
,,RIR,1.0,,,,,cb3a1743-5b9e-4501-98b5-fada866074c1,,,
,,RIR,1.0,,,,,a5bfaddb-0b9a-49e1-a033-09994307ca88,,,
,,RIR,1.0,,,,,538449bc-43a9-44e7-beb4-b7e55601140b,,,
,,RIR,1.0,,,,,63fbc194-fa73-4629-8da9-5308ba0b8463,,,
,,RIR,1.0,,,,,929fac5c-198d-4358-bb15-6006b8bffea6,,,
,,RIR,1.0,,,,,82bda61d-894a-492b-a63d-2dea58d2024c,,,
,,RIR,1.0,,,,,50cd79d4-b57c-4b1c-9aa0-af0ff23af762,,,
,,RIR,1.0,,,,,8918a859-c5d7-442c-9aa2-ccbc677c1c0a,,,
,,RIR,1.0,,,,,414795ea-e2ef-4c0f-b52b-7ddd399c44de,,,
,,RIR,1.0,,,,,473b81e1-1377-4159-9a01-ebe89044e6b4,,,
,,RIR,1.0,,,,,2182394b-8bdf-4492-93b3-9f232beddc1b,,,
,,RIR,1.0,,,,,89f59571-67ec-46c0-82b1-9b63f75b376a,,,
,,RIR,4.0,,,,,efcd8cbf-4be3-4f21-b27c-3768dff91592,,,
,,RIR,4.0,,,,,a00eed33-eae3-4c95-96a1-8a396270c0fe,,,
,,RIR,4.0,,,,,ad33d5b8-37ed-48a6-8d76-64a97eff5c0a,,,
,,RIR,4.0,,,,,448a9651-3558-4a04-9d2a-b56d8c7a26b8,,,
,,RIR,4.0,,,,,ebb8e9ff-413e-4c30-98c7-111028a56fcb,,,
,,RIR,4.0,,,,,8c745a0d-c750-4ed4-89dc-2ef5c05ed252,,,
,,RIR,4.0,,,,,fd16ff37-d02e-46b0-a1d2-5b6ac842c0ac,,,
,,RIR,4.0,,,,,e8925a71-1b21-4c14-9ab4-b8cec351f4d0,,,
,,RIR,4.0,,,,,e3ad510e-ab5b-438e-b8bf-45713c676cd1,,,
,,RIR,4.0,,,,,840940cf-e753-475d-8275-865cb676fddc,,,
,,RIR,4.0,,,,,59978177-fae4-4bae-8873-d482c055c010,,,
,,RIR,4.0,,,,,f564733e-3b4b-45af-af4d-f05e49e22f22,,,
,,RIR,4.0,,,,,5484a82e-4d9d-46aa-9f5f-7f1a70e82251,,,
,,RIR,4.0,,,,,24e0ca41-4fb8-4441-8d9f-7ed10960aefc,,,
,,RIR,4.0,,,,,210fb9ca-377a-48cb-b673-9a4a2ff0417e,,,
,,RIR,4.0,,,,,30cd7901-c541-4f85-804d-038acba06fc4,,,
,,RIR,4.0,,,,,eb359de4-4f48-4c8e-8bd7-28699d1fa120,,,
,,RIR,4.0,,,,,4beee1e7-f1f6-417c-aa43-79dcde8024cb,,,
,,RIR,4.0,,,,,64754311-2bad-41e1-ae49-7cd98657867f,,,
,,RIR,4.0,,,,,564fa29b-38f2-4740-9433-6323d62a27d7,,,
,,RIR,4.0,,,,,641060d3-d6fd-4c12-bebc-efc6d0313c11,,,
,,RIR,4.0,,,,,b4bdff6d-b2fe-4ed0-8af7-d69c115c6dba,,,
,,RIR,4.0,,,,,44edde9a-8b7f-4fca-965f-e081795a5b9f,,,
,,RIR,4.0,,,,,657bd02c-1c9f-42c0-bce3-212fbf4d47d1,,,
,,RIR,4.0,,,,,9e0f33b3-85e9-4aac-b8a4-1db69ec34523,,,
,,RIR,4.0,,,,,f44c6558-0519-4cbf-9845-fdab01ff293a,,,
,,RIR,4.0,,,,,34bb479b-735b-455f-b09f-1c7ae4543d26,,,
,,RIR,4.0,,,,,4b216495-0eea-42a3-8f43-56a0057a5545,,,
,,RIR,4.0,,,,,138f6073-beb8-43db-aba0-98abeac60ebf,,,
,,RIR,4.0,,,,,06509f75-b0c8-4227-b580-d9b530dabf6b,,,
,,RIR,5.0,,,,,2b46f034-dae4-4443-88aa-fc6a6e5d5b7e,,,
,,RIR,5.0,,,,,934295cc-3b19-4a73-96c4-8f9c015aee92,,,
,,RIR,5.0,,,,,a02a2978-d4b9-4d2f-9950-f8221263242d,,,
,,RIR,5.0,,,,,ab76308e-cf5c-46b0-b3de-2f1d866e5aed,,,
,,RIR,5.0,,,,,48e7cb05-8cc2-4e29-8809-0c082d02a445,,,
,,RIR,5.0,,,,,48baf5a1-59ac-4e4d-8a93-67e197926d62,,,
,,RIR,5.0,,,,,12896f9e-daf2-4385-8b32-4cb9f44ab593,,,
,,RIR,5.0,,,,,b4a3389a-1f7a-481e-83e8-3c1907ecbc96,,,
,,RIR,5.0,,,,,302e9642-8076-47a8-aed9-07f1b597c712,,,
,,RIR,5.0,,,,,9be51595-8ca1-4904-b444-f98cb53a0dfc,,,
,,RIR,5.0,,,,,d4b701a9-7a4c-4bd2-b39b-7298b3566a0c,,,
,,RIR,5.0,,,,,c21faf79-faa4-4368-87aa-2b91d5d24a87,,,
,,RIR,5.0,,,,,667124e2-e796-4206-88b5-7ae23c2e8824,,,
,,RIR,5.0,,,,,dd824777-3b15-4a69-864b-5342772481e3,,,
,,RIR,5.0,,,,,f7a2c22a-da24-4125-91ce-c9e2a93eee21,,,
,,RIR,5.0,,,,,e545c959-529c-4b78-a54a-0eee02b50f65,,,
,,RIR,5.0,,,,,4cfae30c-94db-4ee0-87d9-c517eab1ed73,,,
,,RIR,5.0,,,,,a3f7bc58-afc0-4160-a81c-854f61af9a0a,,,
,,RIR,5.0,,,,,8133b270-0787-417e-80d5-75939c4eb7b4,,,
,,RIR,5.0,,,,,1a34d685-4e6a-4131-bd85-36f571cc2a1d,,,
,,RIR,5.0,,,,,5f97b915-550a-462c-a617-fa52322e32bf,,,
,,RIR,5.0,,,,,be0d7306-a272-40ba-b3cb-94cf7da60254,,,
,,RIR,5.0,,,,,02418fb5-8ef9-4d13-b3ba-3db19c374b4b,,,
,,RIR,5.0,,,,,4bc11b16-0ad7-40d1-aec3-3874597c0a90,,,
,,RIR,5.0,,,,,64aedbc1-5f68-4efc-b783-ac223fdea3d5,,,
,,RIR,5.0,,,,,6ec3ab2d-7fdb-4142-a9d3-2ccaeae85415,,,
,,RIR,5.0,,,,,59964e57-a928-4b8f-9e41-2e8818d3ed62,,,
,,RIR,5.0,,,,,92a562b9-4a72-4767-bea0-167890728fd4,,,
,,RIR,5.0,,,,,5b39a8d5-a8c9-4609-9ef0-86de12646d5e,,,
,,RIR,5.0,,,,,e64b6f41-e01b-49c8-8867-ba6360734986,,,
,,RIR,5.0,,,,,05548fe6-679d-4a6c-a577-eb51a1f5cd4c,,,
,,RIR,5.0,,,,,9f7bf65c-f347-4913-9ab1-d775aef526c5,,,
,,RIR,5.0,,,,,fa11e201-662e-47f7-9494-bd600fcabccd,,,
,,RIR,5.0,,,,,3d21b614-20ee-4047-9bdc-e9d068b3cacb,,,
,,RIR,5.0,,,,,d6ee9838-89a5-4616-9574-6522c48e40ae,,,
,,RIR,5.0,,,,,f299fcfc-7bb5-48cb-b088-8662549176f5,,,
,,RIR,5.0,,,,,16bb83ec-64c1-4b5b-aa27-28cd9a25fe85,,,
,,RIR,5.0,,,,,532c1f93-c77c-4b3d-810d-9933a6a92445,,,
,,RIR,5.0,,,,,1632d3a5-8bff-4e40-9df4-57f742eeae66,,,
,,RIR,5.0,,,,,c5cfc818-8d71-46c2-be17-e96f17771ce9,,,
,,RIR,5.0,,,,,e903aff8-f804-4113-ac11-8c72049281df,,,
,,RIR,5.0,,,,,2cf148eb-3d9b-42ba-8945-4beb73a4e8fb,,,
,,RIR,5.0,,,,,7f44e455-469c-4e36-a423-111679f5b297,,,
,,RIR,5.0,,,,,6fbe9256-bab4-48c4-9ed5-74005fab8cfc,,,
,,RIR,5.0,,,,,86d91930-8ef9-405f-817c-7c54621e570e,,,
,,RIR,5.0,,,,,fea0da10-400a-4f38-9b8b-9e0c4f9f940a,,,
,,RIR,5.0,,,,,77656c2c-0d61-4316-9182-1bd7ea63d666,,,
,,RIR,5.0,,,,,87c8253c-417f-4ec1-b8d3-f73baf616470,,,
,,RIR,5.0,,,,,88bc4457-7d14-4e36-b248-c87155c19f78,,,
,,RIR,5.0,,,,,8856f782-a7cd-4267-9b61-95ae55e17933,,,
,,RIR,5.0,,,,,bdeda6bc-e334-4536-9c13-1500f46a42f0,,,
,,RIR,5.0,,,,,59f377ab-0e4e-4448-a015-04adac156409,,,
,,RIR,5.0,,,,,a98d5ab4-72aa-42d7-9b5a-b5d05ebf2ddc,,,
,,RIR,5.0,,,,,1574e7be-442e-4b54-9732-d4d32d1f6536,,,
,,RIR,5.0,,,,,7c643a70-95b7-4ca7-ae2d-92005f4510ad,,,
,,RIR,5.0,,,,,200c2a87-401e-43d6-ab5a-b4315a65a9c3,,,
,,RIR,5.0,,,,,d100b607-e8e7-41c8-afad-692fb9e43d66,,,
,,RIR,5.0,,,,,1515fee3-4f17-4ba4-991f-f41c89e8e509,,,
,,RIR,5.0,,,,,ae1948fb-41b5-4d4c-9560-d1613e470eba,,,
,,RIR,5.0,,,,,1c5cf15a-ce15-4cc2-b5a1-72651bbff789,,,
,,RIR,5.0,,,,,6caeabf7-bc2d-44a8-b927-4e65e7d87597,,,
,,RIR,5.0,,,,,862fc1aa-039f-4cfb-8132-560bd762eccf,,,
,,RIR,5.0,,,,,737dd118-5c1b-4590-98fb-2dd12c44c0e1,,,
,,RIR,5.0,,,,,70887f63-18fa-4d77-be21-9ac8b36695c1,,,
,,RIR,5.0,,,,,cfe7bb0b-f8ac-47e8-9bc5-a98d05df56f5,,,
,,RIR,5.0,,,,,bb16eec9-9500-4c47-bf5e-6ec9daa7e75a,,,
,,RIR,5.0,,,,,4cad918c-4c3f-44e9-b1a1-3964964f1e63,,,
,,RIR,5.0,,,,,2d3bd59e-867b-449a-ba59-46f15a12df28,,,
,,RIR,5.0,,,,,f98c2d9c-ee5e-498d-87df-ee37906b6612,,,
